"","Chromosome","Start","End","Nclone","Array.24","Array.22","Array.146","Array.62","Array.118","Array.154","Array.112","Array.69","Array.90","Array.99","Array.57","Array.114","Array.5","Array.113","Array.25","Array.102","Array.159","Array.88","Array.50","Array.153","Array.38","Array.104","Array.145","Array.31","Array.135","Array.111","Array.71","Array.47","Array.107","Array.64","Array.30","Array.93"
"1",1,2927,43870,3,0,0,0,1,0,1,0,1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,-1,1,0,1,0,0,0,0,1,0
"2",1,85022,216735,4,0,0,0,1,0,1,0,0,-1,-1,-1,-1,0,-1,0,0,0,0,0,-1,0,0,-1,1,0,1,0,0,0,0,1,0
"3",1,370546,372295,4,0,0,0,1,0,0,0,0,-1,0,-1,-1,1,-1,0,0,0,0,0,-1,0,0,-1,1,0,1,1,0,0,0,1,1
"4",1,471671,786483,5,0,0,0,1,0,0,0,0,1,0,1,-1,1,-1,0,0,0,0,0,-1,0,0,-1,1,0,1,1,0,0,0,1,1
"5",1,792533,907406,13,0,0,0,1,0,0,0,0,-1,0,1,-1,1,-1,0,-1,0,0,0,-1,0,0,-1,1,0,1,1,0,0,0,1,1
"6",1,912799,1266212,96,0,0,0,1,0,0,0,0,-1,0,-1,-1,1,-1,0,-1,0,0,0,-1,0,0,-1,1,0,1,1,0,0,0,1,1
"7",1,1271190,1590570,45,0,0,0,1,0,0,0,0,-1,0,-1,-1,1,-1,0,-1,0,0,0,-1,0,0,-1,1,0,1,1,0,0,0,1,1
"8",1,1676445,1703748,4,-1,0,0,1,0,0,0,1,-1,0,1,-1,1,-1,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,1,1
"9",1,1738295,2477597,104,0,0,0,1,0,-1,0,0,-1,0,-1,-1,1,-1,0,-1,0,0,0,-1,0,0,-1,1,0,1,1,-1,0,0,1,0
"10",1,2481927,2562342,14,0,0,0,1,0,-1,0,0,-1,0,-1,-1,1,-1,0,-1,0,0,0,-1,0,0,-1,1,0,1,1,0,0,0,1,0
"11",1,2574555,2580342,2,0,0,0,1,0,-1,0,0,-1,0,-1,-1,1,-1,0,-1,0,0,0,-1,0,0,-1,1,0,1,1,0,0,0,1,0
"12",1,2611444,2641811,12,0,1,0,1,1,0,0,1,2,1,2,-1,1,-1,0,2,0,-1,1,1,0,0,0,1,0,1,1,0,1,1,1,1
"13",1,2643540,2645074,2,0,1,0,1,1,0,0,-1,2,1,2,-1,1,-1,0,2,0,-1,1,1,0,0,0,1,0,1,1,0,0,1,1,1
"14",1,2664285,2665530,2,0,0,0,1,1,0,0,-1,-1,1,-1,-1,1,-1,0,-1,0,0,1,-1,0,0,0,1,0,1,1,0,0,1,1,0
"15",1,2672694,2832087,14,0,0,0,1,0,0,0,-1,-1,0,-1,-1,1,-1,0,-1,0,0,1,-1,0,0,-1,1,0,1,1,0,0,0,1,0
"16",1,2854198,2856899,2,0,0,0,1,0,0,0,-1,-1,0,-1,-1,1,-1,0,-1,0,0,1,-1,0,0,-1,1,0,1,1,0,0,0,1,0
"17",1,2870100,2880675,6,0,1,0,1,0,0,0,-1,2,1,2,-1,1,-1,0,2,0,-1,1,1,0,0,-1,1,0,1,1,0,1,1,1,1
"18",1,2882919,2901629,9,0,1,0,1,1,0,0,-1,2,1,2,-1,1,-1,0,2,0,-1,1,1,0,0,0,1,0,1,1,0,1,1,1,1
"19",1,2903052,3112977,27,0,0,0,1,0,0,0,-1,-1,0,-1,-1,1,-1,0,-1,0,0,0,-1,0,0,-1,1,0,1,1,-1,0,0,1,0
"20",1,3125822,3135062,2,0,0,0,1,0,0,0,-1,-1,0,-1,-1,1,-1,0,0,0,0,0,-1,0,0,1,0,0,1,1,2,0,0,1,0
"21",1,3136815,3137481,2,0,0,0,1,0,0,0,-1,-1,0,-1,0,1,2,0,0,0,0,0,-1,0,0,1,0,0,1,1,2,0,0,1,0
"22",1,3149648,3157982,2,0,0,0,1,0,-1,0,-1,-1,0,-1,0,1,2,0,0,0,0,0,-1,0,0,-1,1,0,1,1,-1,0,0,1,0
"23",1,3166706,3521038,47,0,0,0,1,0,-1,0,-1,-1,0,-1,-1,1,-1,0,-1,0,0,0,-1,0,0,-1,1,0,1,1,-1,0,0,1,0
"24",1,3521345,3798798,42,0,0,0,1,0,0,0,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,0,-1,1,0,1,1,-1,0,0,1,0
"25",1,3810936,6606212,213,0,0,0,1,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,1,0,1,1,-1,0,0,1,0
"26",1,6613363,8038878,160,0,0,0,1,0,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,1,0,-1,1,-1,0,0,1,0
